"Statistic Label","Year","Gross Vehicle Weight","Fuel Type","Type of Carriage","Licensing Authority","UNIT","VALUE"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Tipperary","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Waterford","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Wicklow","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Westmeath","Number","1"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Co. Wexford","Number","1"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Hire or reward","Ireland","Number","20"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Clare","Number","6"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Cork","Number","44"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Cavan","Number","9"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Carlow","Number","6"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Donegal","Number","5"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Dublin","Number","169"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Galway","Number","57"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Kildare","Number","106"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Kilkenny","Number","7"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Kerry","Number","4"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Longford","Number","5"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Louth","Number","14"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Limerick","Number","10"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Leitrim","Number","1"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Laois","Number","7"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Meath","Number","21"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Monaghan","Number","6"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Mayo","Number","6"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Offaly","Number","1"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Roscommon","Number","3"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Sligo","Number","2"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Tipperary","Number","12"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Waterford","Number","3"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Wicklow","Number","110"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Westmeath","Number","16"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Co. Wexford","Number","20"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Plug-in hybrid electric vehicles (PHEV)","Own account","Ireland","Number","650"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Clare","Number","21"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Cork","Number","209"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Cavan","Number","23"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Carlow","Number","21"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Donegal","Number","44"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Dublin","Number","510"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Galway","Number","72"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Kildare","Number","95"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Kilkenny","Number","22"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Kerry","Number","39"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Longford","Number","9"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Louth","Number","23"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Limerick","Number","48"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Leitrim","Number","6"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Laois","Number","25"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Meath","Number","53"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Monaghan","Number","20"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Mayo","Number","28"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Offaly","Number","9"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Roscommon","Number","13"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Sligo","Number","15"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Tipperary","Number","31"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Waterford","Number","32"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Wicklow","Number","69"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Westmeath","Number","25"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Co. Wexford","Number","39"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Main use (own account and hire or reward)","Ireland","Number","1501"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Clare","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Cork","Number","8"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Cavan","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Carlow","Number","2"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Donegal","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Dublin","Number","31"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Galway","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Kildare","Number","2"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Kilkenny","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Kerry","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Longford","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Louth","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Limerick","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Leitrim","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Laois","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Meath","Number","2"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Monaghan","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Mayo","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Offaly","Number","1"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Roscommon","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Sligo","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Tipperary","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Waterford","Number","2"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Wicklow","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Westmeath","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Co. Wexford","Number","0"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Hire or reward","Ireland","Number","48"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Clare","Number","21"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Cork","Number","201"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Cavan","Number","23"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Carlow","Number","19"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Donegal","Number","44"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Dublin","Number","479"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Galway","Number","72"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Kildare","Number","93"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Kilkenny","Number","22"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Kerry","Number","39"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Longford","Number","9"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Louth","Number","23"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Limerick","Number","48"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Leitrim","Number","6"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Laois","Number","25"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Meath","Number","51"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Monaghan","Number","20"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Mayo","Number","28"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Offaly","Number","8"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Roscommon","Number","13"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Sligo","Number","15"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Tipperary","Number","31"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Waterford","Number","30"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Wicklow","Number","69"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Westmeath","Number","25"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Co. Wexford","Number","39"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","Other fuel types","Own account","Ireland","Number","1453"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Clare","Number","8948"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Cork","Number","41239"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Cavan","Number","8485"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Carlow","Number","5713"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Donegal","Number","15559"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Dublin","Number","77870"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Galway","Number","19806"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Kildare","Number","17212"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Kilkenny","Number","7981"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Kerry","Number","12124"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Longford","Number","3886"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Louth","Number","7739"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Limerick","Number","12951"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Leitrim","Number","3584"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Laois","Number","5989"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Meath","Number","15223"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Monaghan","Number","7411"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Mayo","Number","12733"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Offaly","Number","6428"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Roscommon","Number","6104"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Sligo","Number","6042"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Tipperary","Number","13759"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Waterford","Number","7700"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Wicklow","Number","9773"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Westmeath","Number","8030"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Co. Wexford","Number","13139"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Main use (own account and hire or reward)","Ireland","Number","355428"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Clare","Number","160"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Cork","Number","1557"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Cavan","Number","240"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Carlow","Number","158"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Donegal","Number","242"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Dublin","Number","4894"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Galway","Number","399"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Kildare","Number","479"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Kilkenny","Number","162"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Kerry","Number","261"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Longford","Number","92"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Louth","Number","218"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Limerick","Number","331"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Leitrim","Number","75"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Laois","Number","140"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Meath","Number","378"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Monaghan","Number","102"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Mayo","Number","260"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Offaly","Number","123"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Roscommon","Number","184"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Sligo","Number","141"
"Goods vehicles","2023","N1 - Vehicles used for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes","All fuel types","Hire or reward","Co. Tipperary","Number","279"
